width,radius,dy,timepoint,diodicity
0.07,0.09,0.5,10,
0.07,0.09,0.5,20,
0.07,0.09,0.5,30,
0.07,0.09,0.5,40,
0.07,0.09,0.5,50,0.0
0.07,0.09,0.5,60,1.8761463760111532e-08
0.07,0.09,0.5,70,3.947896523858434e-05
0.07,0.09,0.5,80,0.007292362776847609
0.07,0.09,0.5,90,0.1776252920660037
0.07,0.09,0.5,100,0.5957384829647037
0.07,0.09,0.5,110,0.8104542175240078
0.07,0.09,0.5,120,0.8686759008086136
0.07,0.09,0.5,130,0.8941489076610679
0.07,0.09,0.5,140,0.9054341930622114
0.07,0.09,0.5,150,0.9142271234704616
0.07,0.09,0.5,160,0.9213264760176635
0.07,0.09,0.5,170,0.9231255375575013
0.07,0.09,0.5,180,0.9292324635219709
0.07,0.09,0.5,190,0.9293458769975518
0.07,0.09,0.5,200,0.9331519482052687
0.07,0.09,0.5,210,0.9344636280295883
0.07,0.09,0.5,220,0.9359537901685866
0.07,0.09,0.5,230,0.9423474303200654
0.07,0.09,0.5,240,0.9545916925114304
0.07,0.09,0.5,250,0.978235216609817
0.07,0.09,0.5,260,1.010376555922607
0.07,0.09,0.5,270,1.0491285238497663
0.07,0.09,0.5,280,1.094327814552569
0.07,0.09,0.5,290,1.1404247494426647
0.07,0.09,0.5,300,1.1824643338402774
0.07,0.09,0.5,310,1.215285236103415
0.07,0.09,0.5,320,1.2329545331449392
0.07,0.09,0.5,330,1.2349363801188702
0.07,0.09,0.5,340,1.2250823223988943
0.07,0.09,0.5,350,1.2114677256315887
0.07,0.09,0.5,360,1.2027478973577381
0.07,0.09,0.5,370,1.2006138908926383
0.07,0.09,0.5,380,1.204942417736554
0.07,0.09,0.5,390,1.2155952336354747
0.07,0.09,0.5,400,1.2287372206082587
0.07,0.09,0.5,410,1.2411441484991572
0.07,0.09,0.5,420,1.2534927565502914
0.07,0.09,0.5,430,1.2715619640580447
0.07,0.09,0.5,440,1.3036635271848196
0.07,0.09,0.5,450,1.3506412494378508
0.07,0.09,0.5,460,1.401501940874276
0.07,0.09,0.5,470,1.4395912348131474
0.07,0.09,0.5,480,1.4556016470623494
0.07,0.09,0.5,490,1.4557714071173191
0.07,0.09,0.5,500,1.454680066692899
0.07,0.09,0.5,510,1.4626223898049924
0.07,0.09,0.5,520,1.479337959458129
0.07,0.09,0.5,530,1.4971611841496597
0.07,0.09,0.5,540,1.511150968900995
0.07,0.09,0.5,550,1.5225740022500305
0.07,0.09,0.5,560,1.5326167023067758
0.07,0.09,0.5,570,1.5398244149352063
0.07,0.09,0.5,580,1.5427813965336845
0.07,0.09,0.5,590,1.5431576019136302
0.07,0.09,0.5,600,1.5453515859572131
0.07,0.09,0.5,610,1.550632702573215
0.07,0.09,0.5,620,1.553962930476958
0.07,0.09,0.5,630,1.5485790370669814
0.07,0.09,0.5,640,1.5329349854241188
0.07,0.09,0.5,650,1.5134041531643723
0.07,0.09,0.5,660,1.499265169134805
0.07,0.09,0.5,670,1.4951922060579845
0.07,0.09,0.5,680,1.4990373180365966
0.07,0.09,0.5,690,1.5043923213241166
0.07,0.09,0.5,700,1.5046992516257511
0.07,0.09,0.5,710,1.4966137051637616
0.07,0.09,0.5,720,1.4804445341663501
0.07,0.09,0.5,730,1.4586411206108525
0.07,0.09,0.5,740,1.4341412181506061
0.07,0.09,0.5,750,1.4091216754205396
0.07,0.09,0.5,760,1.3846874605666846
0.07,0.09,0.5,770,1.3609053357373242
0.07,0.09,0.5,780,1.336823052676048
0.07,0.09,0.5,790,1.3111345635749365
0.07,0.09,0.5,800,1.2831755494120352
0.07,0.09,0.5,810,1.253610731227356
0.07,0.09,0.5,820,1.2243560454669553
0.07,0.09,0.5,830,1.1975159705948737
0.07,0.09,0.5,840,1.1743646420068974
0.07,0.09,0.5,850,1.1551528706756393
0.07,0.09,0.5,860,1.1393361617859414
0.07,0.09,0.5,870,1.1259250817589999
0.07,0.09,0.5,880,1.1137994050843854
0.07,0.09,0.5,890,1.1019357936583543
0.07,0.09,0.5,900,1.0897323966818482
0.07,0.09,0.5,910,1.0772668335921964
0.07,0.09,0.5,920,1.065286492170632
0.07,0.09,0.5,930,1.0549093043737479
0.07,0.09,0.5,940,1.0469878691965466
0.07,0.09,0.5,950,1.0414781527318726
0.07,0.09,0.5,960,1.0373459069932132
0.07,0.09,0.5,970,1.0331398148003788
0.07,0.09,0.5,980,1.027911119729955
0.07,0.09,0.5,990,1.0217754135044403
0.07,0.09,0.5,1000,1.015618790477621
0.07,0.09,0.5,1010,1.0103031070486832
0.07,0.09,0.5,1020,1.006108659741888
0.07,0.09,0.5,1030,1.0027969155087302
0.07,0.09,0.5,1040,1.000087032294161
0.07,0.09,0.5,1050,0.9979818085535679
0.07,0.09,0.5,1060,0.9966676308371646
0.07,0.09,0.5,1070,0.9962324744850525
0.07,0.09,0.5,1080,0.996535320747215
0.07,0.09,0.5,1090,0.997309456644841
0.07,0.09,0.5,1100,0.9983105450385851
0.07,0.09,0.5,1110,0.999327363752464
0.07,0.09,0.5,1120,1.000145184190815
0.07,0.09,0.5,1130,1.000626043503541
0.07,0.09,0.5,1140,1.0008682936771987
0.07,0.09,0.5,1150,1.001250187162859
0.07,0.09,0.5,1160,1.002232641231357
0.07,0.09,0.5,1170,1.004067512969671
