radius,dy,diodicity
0.05,0.25,1.2019658006664833
0.11000000000000001,0.25,1.0582579910088892
0.17,0.25,0.9528403025692058
0.05,0.425,1.1701258159527392
0.11000000000000001,0.425,1.222411220729325
0.17,0.425,1.1518140338116922
0.05,0.6,1.066540917239112
0.11000000000000001,0.6,1.1832420378328448
0.17,0.6,1.2905653038744667
