width,radius,dy,timepoint,diodicity
0.07,0.14,0.5,10,
0.07,0.14,0.5,20,
0.07,0.14,0.5,30,
0.07,0.14,0.5,40,0.0
0.07,0.14,0.5,50,4.954074409380315e-08
0.07,0.14,0.5,60,0.00015502072519502547
0.07,0.14,0.5,70,0.02230186905060553
0.07,0.14,0.5,80,0.36214335237386724
0.07,0.14,0.5,90,0.7747467721879387
0.07,0.14,0.5,100,0.8927032881832403
0.07,0.14,0.5,110,0.9167341689822213
0.07,0.14,0.5,120,0.9341618729406016
0.07,0.14,0.5,130,0.9403828550091875
0.07,0.14,0.5,140,0.9480093774053915
0.07,0.14,0.5,150,0.9505736062302188
0.07,0.14,0.5,160,0.9553381523256105
0.07,0.14,0.5,170,0.9555717778874113
0.07,0.14,0.5,180,0.9596259073651139
0.07,0.14,0.5,190,0.9597357627037891
0.07,0.14,0.5,200,0.9661383637010338
0.07,0.14,0.5,210,0.9793375987708304
0.07,0.14,0.5,220,1.0078949993166728
0.07,0.14,0.5,230,1.0470884143837107
0.07,0.14,0.5,240,1.0937874659032372
0.07,0.14,0.5,250,1.147219393865444
0.07,0.14,0.5,260,1.2035491370893148
0.07,0.14,0.5,270,1.2520654737022638
0.07,0.14,0.5,280,1.2743261038363576
0.07,0.14,0.5,290,1.2720006333026823
0.07,0.14,0.5,300,1.260436126584691
0.07,0.14,0.5,310,1.2535559103034424
0.07,0.14,0.5,320,1.2565575591914993
0.07,0.14,0.5,330,1.2671411954893357
0.07,0.14,0.5,340,1.2865240290616413
0.07,0.14,0.5,350,1.30864905656306
0.07,0.14,0.5,360,1.3285096847664746
0.07,0.14,0.5,370,1.3478255194760382
0.07,0.14,0.5,380,1.3749283353457682
0.07,0.14,0.5,390,1.4147362048044274
0.07,0.14,0.5,400,1.457266156266149
0.07,0.14,0.5,410,1.4877879913902246
0.07,0.14,0.5,420,1.500798172223669
0.07,0.14,0.5,430,1.5049101293503295
0.07,0.14,0.5,440,1.5102049412428782
0.07,0.14,0.5,450,1.5173728678596818
0.07,0.14,0.5,460,1.5223444288869816
0.07,0.14,0.5,470,1.5244930394163871
0.07,0.14,0.5,480,1.5270567041541057
0.07,0.14,0.5,490,1.5313898271195405
0.07,0.14,0.5,500,1.536909216907461
0.07,0.14,0.5,510,1.5420408812074011
0.07,0.14,0.5,520,1.5464041192070652
0.07,0.14,0.5,530,1.5513063638402178
0.07,0.14,0.5,540,1.5569786021976797
0.07,0.14,0.5,550,1.5602047106471923
0.07,0.14,0.5,560,1.5569346655117775
0.07,0.14,0.5,570,1.5482234807383228
0.07,0.14,0.5,580,1.538890040677732
0.07,0.14,0.5,590,1.5311232992817614
0.07,0.14,0.5,600,1.5217436602690408
0.07,0.14,0.5,610,1.5076022751903013
0.07,0.14,0.5,620,1.4915563019711233
0.07,0.14,0.5,630,1.4793369757158268
0.07,0.14,0.5,640,1.472670506190441
0.07,0.14,0.5,650,1.4674939921790406
0.07,0.14,0.5,660,1.4597542562230328
0.07,0.14,0.5,670,1.4501057487209026
0.07,0.14,0.5,680,1.4407336185205268
0.07,0.14,0.5,690,1.4305619174310886
0.07,0.14,0.5,700,1.4159947790008889
0.07,0.14,0.5,710,1.3959095503598933
0.07,0.14,0.5,720,1.3730179635880297
0.07,0.14,0.5,730,1.3504862851267387
0.07,0.14,0.5,740,1.329547370856018
0.07,0.14,0.5,750,1.3102857484233146
0.07,0.14,0.5,760,1.293432358696625
0.07,0.14,0.5,770,1.2801800605513842
0.07,0.14,0.5,780,1.270899427728252
0.07,0.14,0.5,790,1.2648499641138182
0.07,0.14,0.5,800,1.260914116572326
0.07,0.14,0.5,810,1.2581327976636352
0.07,0.14,0.5,820,1.255100299820781
0.07,0.14,0.5,830,1.2496751319357384
0.07,0.14,0.5,840,1.2402368145823561
0.07,0.14,0.5,850,1.2272854860867395
0.07,0.14,0.5,860,1.2132263740402178
0.07,0.14,0.5,870,1.2002520958091942
0.07,0.14,0.5,880,1.1889720347363164
