width,radius,dy,timepoint,diodicity
0.085,0.14,0.5,10,
0.085,0.14,0.5,20,
0.085,0.14,0.5,30,
0.085,0.14,0.5,40,0.0
0.085,0.14,0.5,50,2.769183280800521e-07
0.085,0.14,0.5,60,0.0003692446317395402
0.085,0.14,0.5,70,0.046662623366794206
0.085,0.14,0.5,80,0.48552573720738107
0.085,0.14,0.5,90,0.8258358402412237
0.085,0.14,0.5,100,0.9042411323976799
0.085,0.14,0.5,110,0.9220971547532282
0.085,0.14,0.5,120,0.9369917490896343
0.085,0.14,0.5,130,0.94272742006959
0.085,0.14,0.5,140,0.9459225272259332
0.085,0.14,0.5,150,0.953205074836863
0.085,0.14,0.5,160,0.9513871211981432
0.085,0.14,0.5,170,0.9571165053138563
0.085,0.14,0.5,180,0.9569649385350806
0.085,0.14,0.5,190,0.9598856912722268
0.085,0.14,0.5,200,0.9708718260219102
0.085,0.14,0.5,210,0.991796413965278
0.085,0.14,0.5,220,1.0274436464329577
0.085,0.14,0.5,230,1.070284767275109
0.085,0.14,0.5,240,1.1167183218753651
0.085,0.14,0.5,250,1.1667085414298017
0.085,0.14,0.5,260,1.2183018499817726
0.085,0.14,0.5,270,1.2637016221806239
0.085,0.14,0.5,280,1.2921408579118143
0.085,0.14,0.5,290,1.2971121301416197
0.085,0.14,0.5,300,1.2867659287555582
0.085,0.14,0.5,310,1.2757163893468535
0.085,0.14,0.5,320,1.2720762803555468
0.085,0.14,0.5,330,1.2854589119540167
0.085,0.14,0.5,340,1.3169579712645612
0.085,0.14,0.5,350,1.361132111216951
0.085,0.14,0.5,360,1.4079074535941496
0.085,0.14,0.5,370,1.4470407606771976
0.085,0.14,0.5,380,1.4822543040276326
0.085,0.14,0.5,390,1.5215275167614193
0.085,0.14,0.5,400,1.5675304464206832
0.085,0.14,0.5,410,1.6159813035350625
0.085,0.14,0.5,420,1.6551303379657483
0.085,0.14,0.5,430,1.674143760953084
0.085,0.14,0.5,440,1.6704234301026628
0.085,0.14,0.5,450,1.6488843410888598
0.085,0.14,0.5,460,1.626574531918328
0.085,0.14,0.5,470,1.6202285765602902
0.085,0.14,0.5,480,1.633280201383631
0.085,0.14,0.5,490,1.6568572776810193
0.085,0.14,0.5,500,1.6749446890398845
0.085,0.14,0.5,510,1.6791003743401787
0.085,0.14,0.5,520,1.677382728322558
0.085,0.14,0.5,530,1.6849123667879489
0.085,0.14,0.5,540,1.7048428778852074
0.085,0.14,0.5,550,1.7233185297335967
0.085,0.14,0.5,560,1.7246057812627944
0.085,0.14,0.5,570,1.7048818417631648
0.085,0.14,0.5,580,1.6696186312271726
0.085,0.14,0.5,590,1.6269266344355577
0.085,0.14,0.5,600,1.5847631629171866
0.085,0.14,0.5,610,1.549973747252544
0.085,0.14,0.5,620,1.5269670890398397
0.085,0.14,0.5,630,1.515331122993499
0.085,0.14,0.5,640,1.5098805990804376
0.085,0.14,0.5,650,1.5044008990666202
0.085,0.14,0.5,660,1.494609375582353
0.085,0.14,0.5,670,1.478068227405199
0.085,0.14,0.5,680,1.4529487590097745
0.085,0.14,0.5,690,1.416746396375972
0.085,0.14,0.5,700,1.3682490814778747
0.085,0.14,0.5,710,1.3111407307406027
0.085,0.14,0.5,720,1.2527549407319394
0.085,0.14,0.5,730,1.1997611892273505
